record_id,citation_key,short_citation,year,title,journal,doi_or_url,verification_status,verification_date,data_family,study_domain,study_period,spatial_unit,temporal_design,relevant_rqs,primary_role,overlap_with_project,project_distinction,essd_use,lup_use,comparison_boundary,priority,next_action
LIT001,pontius_2004,"Pontius, Shusas and McEachern 2004",2004,"Detecting important categorical land changes while accounting for persistence","Agriculture, Ecosystems and Environment",https://doi.org/10.1016/j.agee.2003.09.008,full_text_verified,2026-09-06,categorical_land_change,"Plum Island Ecosystems, Massachusetts",multiple_dates,categorical_map_units,two_date_cross_tabulation,"RQ1;RQ2;RQ4",conceptual_foundation,"Persistence and net change can conceal opposing gross flows","Eight intervals, pasture-origin attribution, trajectories and spatial sensitivity","Methods and data-model rationale","Interpretation of net versus gross change","Conceptual comparison; not an empirical benchmark for Brazil",high,"Retain as a core methodological citation"
LIT002,pendrill_2019,"Pendrill et al. 2019",2019,"Deforestation displaced: Trade in forest-risk commodities and the prospects for a global forest transition","Environmental Research Letters",https://doi.org/10.1088/1748-9326/ab0d41,full_text_verified,2026-09-06,land_balance_and_trade,global,2005-2013,national_and_subnational,proportional_attribution_with_multiyear_window,"RQ2;RQ3;RQ4",methodological_precedent,"Physical stock-flow accounting and temporal attribution","Observed pixel pathways and spatially explicit pasture-origin partitions rather than proportional sequence assumptions","Methods context for accounting and temporal windows","Traceability and commodity-attribution context","Different objective, scale and attribution assumptions",high,"Retain in both manuscript bibliographies"
LIT003,matos_2025,"Matos et al. 2025",2025,"Accounting for alternation in temporal quality analysis in MapBiomas Brazil","International Journal of Digital Earth",https://doi.org/10.1080/17538947.2025.2528604,full_text_verified,2026-09-06,mapbiomas_temporal_quality,Brazil,1985-2022,reference_points_and_pixels,annual_alternation_analysis,"RQ3;RQ5",quality_and_uncertainty_foundation,"Annual pasture-native vegetation alternation may be classification noise","Five-year endpoints govern accounting; annual states are used selectively for pathway diagnostics","Temporal-quality rationale and uncertainty metadata","Limitation on short pasture-mediated pathway interpretation","Supports aggregate stability but cautions against literal reading of short annual sequences",high,"Link explicitly to temporal-filter and pathway uncertainty fields"
LIT004,caballero_2023,"Caballero et al. 2023",2023,"Transformation of Brazil's biomes: The dynamics and fate of agriculture and pasture expansion into native vegetation","Science of the Total Environment",https://doi.org/10.1016/j.scitotenv.2023.166323,full_text_verified,2026-09-23,mapbiomas_collection_6,Brazil_all_biomes,1985-2020,"biomes and 10 km grid","annual trends; operational clearing filters; selected-state Sankey periods","RQ1;RQ2;RQ3;RQ4;RQ5",direct_empirical_predecessor,"Native vegetation, pasture and crop transitions; biome contrasts; hotspots","Collection 11; focused Cerrado-Amazon domain; fixed cohort; origin partition; annual pathways; episodes; Moran-LISA; MAUP","Relationship to prior data products and national transition analyses","Central empirical prior and discussion benchmark","Do not treat Sankey links as complete annual pixel pathways or compare absolute totals without harmonization",very_high,"Cite centrally in both manuscripts and record in Stage 0 novelty audit"
LIT005,macedo_2012,"Macedo et al. 2012",2012,"Decoupling of deforestation and soy production in the southern Amazon during the late 2000s","Proceedings of the National Academy of Sciences",https://doi.org/10.1073/pnas.1111374109,full_text_verified,2026-09-06,"MODIS and agricultural statistics","Mato Grosso, southern Amazon",2001-2010,regional_and_pixel,period_comparison_and_land_use_transition,"RQ2;RQ4",empirical_precedent,"Soy expansion over previously cleared and pasture land; old versus recent clearings","Multi-interval domain-wide accounting with explicit pasture-origin categories and closure","Example of reuse question enabled by broader released data","Core precedent for consolidation and policy-market interpretation","Soy-specific regional estimates are not direct numerical validation of temporary-crop totals",high,"Use in LUP introduction and discussion"
LIT006,seixas_2025,"Seixas et al. 2025",2025,"Conversion from forest to agriculture in the Brazilian Amazon from 1985 to 2021",Land,https://doi.org/10.3390/land14020300,full_text_verified,2026-09-06,mapbiomas_annual,Brazilian_Amazon,1985-2021,pixel,conversion_length,"RQ2;RQ3;RQ4",closest_temporal_precedent,"Links year of deforestation to year of agricultural establishment","Decomposes the pathway and pasture origin and integrates stock-flow closure and spatial robustness","Novelty boundary and related analytical products","Direct novelty boundary and discussion","Do not claim that dating native-to-crop conversion is new",very_high,"Engage explicitly in introduction and methods"
LIT007,mas_2019,"Mas et al. 2019",2019,"Analysis of high temporal resolution land use and land cover trajectories",Land,https://doi.org/10.3390/land8020030,abstract_and_key_excerpts_reviewed,2026-07-25,annual_land_cover_sequences,"Northeast Brazil, including Bahia",1985-2017,pixel_or_spatial_unit,sequence_analysis_and_clustering,"RQ4;RQ5",trajectory_method_precedent,"Annual sequences, entropy, turbulence, permanence and clustering","Directed process-balance states with prespecified episode, re-entry and reversal rules","Related-work boundary for trajectory products","Optional methodological comparison","Full text must be reviewed before final novelty wording",high,"Complete full-text review"
LIT008,souza_2020,"Souza et al. 2020",2020,"Reconstructing three decades of land use and land cover changes in Brazilian biomes with Landsat archive and Earth Engine",Remote_Sensing,https://doi.org/10.3390/rs12172735,methodological_source,2026-07-25,mapbiomas_national,Brazil_all_biomes,1985-2017,Landsat_pixel,annual_classification,"RQ1;RQ2;RQ3;RQ4",data_source_foundation,"Underlying annual MapBiomas land-use and land-cover architecture","Derived stock-flow, pathway, trajectory and spatial-inference products","Primary data-source background","Minimal background citation","Collection and period differ from the project's Collection 11 inputs",high,"Use in ESSD data-source section"
LIT009,alencar_2020,"Alencar et al. 2020",2020,"Mapping three decades of changes in the Brazilian savanna native vegetation using Landsat data processed in the Google Earth Engine platform",Remote_Sensing,https://doi.org/10.3390/rs12060924,methodological_source,2026-07-25,mapbiomas_cerrado,Cerrado,1985-2017,Landsat_pixel,annual_native_vegetation_mapping,"RQ1;RQ3;RQ4",biome_mapping_foundation,"Long-term Cerrado native-vegetation loss and gain; classification challenges","Integrates pasture and temporary-crop flows, origin, pathways and spatial inference","Classification and biome-specific source context","Optional Cerrado interpretation","Not a pathway or stock-flow closure analysis",high,"Use in ESSD classification context"
LIT010,franca_rocha_2024,"Franca Rocha et al. 2024",2024,"Towards uncovering three decades of LULC in the Brazilian drylands: Caatinga biome dynamics (1985-2019)",Land,https://doi.org/10.3390/land13081250,abstract_and_key_excerpts_reviewed,2026-07-25,mapbiomas_regional,Caatinga,1985-2019,biome_and_pixel,long_term_lulc_dynamics,"RQ4",regional_context,"Long-term biome-specific MapBiomas land-cover dynamics","Outside the focal Cerrado-Amazon domain and without the integrated accounting architecture","Optional broad context","Optional broad context","Low direct comparability to the focal domain",low,"Retain as contextual rather than central citation"
