finding_id,research_question,topic,metric,spatial_scope,population,temporal_scope,temporal_role,evidence_mode,evidence_status,main_result,numeric_evidence,robustness_status,interpretation_boundary,source_phase,source_id,source_locator,manuscript_use,causal_claim_flag,source_relative_path,source_sha256,source_authenticated,evidence_matrix_version
P9A001,RQ1,fixed_1985_pasture_cohort,pasture_stock_origin,combined_domain,fixed_1985_pasture_cohort,1985_2025,both,gap,evidence_gap,The accepted spatial investigation does not yet contain a dedicated substantive synthesis of redistribution of the fixed 1985 pasture cohort.,No Phase 4-8 accepted finding answers RQ1 directly.,not_assessed,Do not infer redistribution results from process-flow maps; extract the accepted cohort-accounting outputs before manuscript synthesis.,0-9,investigation_plan,Research question 1 and fixed-cohort component,gap,0,planning/006_spatiotemporal_investigation_plan.md,43f59b644cc47ecc5b8b853909086309db2692bf0a7c27179cfd5b7384109b37,True,phase9a-integrated-evidence-matrix-v1
P9A002,RQ2,pasture_origin_of_consolidation,pas_to_tmp_origin,combined_domain,all_valid_cells,1985_2025,both,gap,evidence_gap,"The accepted spatial investigation does not yet synthesize the shares of consolidation originating from left-censored, new, unresolved-age and unattributed pasture.",No Phase 4-8 accepted finding provides the complete origin partition required by RQ2.,not_assessed,"The accounting identity may be validated upstream, but substantive origin shares require a dedicated extraction from accepted stock-flow outputs.",0-9,investigation_plan,Research question 2 and pasture-origin identity,gap,0,planning/006_spatiotemporal_investigation_plan.md,43f59b644cc47ecc5b8b853909086309db2692bf0a7c27179cfd5b7384109b37,True,phase9a-integrated-evidence-matrix-v1
P9A003,RQ3,within_interval_pathways,nat_tmp_pas_any_share,combined_domain,primary_high_nat_tmp_cohort,1985_2020,primary,descriptive,supported,Detected intermediate pasture represents a small share of accumulated endpoint NAT-to-TMP area in the primary high-magnitude cohort.,Pasture detected in at least one intermediate year = 6.51% of accumulated NAT-to-TMP area in the cohort.,not_assessed,This percentage is cohort-specific and sums interval areas; it is not the full-domain share and does not deduplicate pixels across intervals.,4,phase4_closure,Section 7 — Composition of trajectories,qualification,0,phase4/phase4_spatial_findings_and_closure_v1.md,1be8540936dfdbcf25894b00a9d7c92058b3bbf23a56501c6d81eac0977f8631,True,phase9a-integrated-evidence-matrix-v1
P9A004,RQ3,within_interval_pathways,nat_tmp_no_pas_detected,combined_domain,primary_high_nat_tmp_cohort,1985_2020,primary,descriptive,qualified,Absence of detected pasture in the annual series does not establish direct native-vegetation-to-crop conversion.,Other intermediate states and classification instability remain possible.,not_applicable,Use 'no pasture detected' rather than 'direct conversion' unless every intermediate state is evaluated.,4,phase4_closure,Sections 1 and 7,limitation,0,phase4/phase4_spatial_findings_and_closure_v1.md,1be8540936dfdbcf25894b00a9d7c92058b3bbf23a56501c6d81eac0977f8631,True,phase9a-integrated-evidence-matrix-v1
P9A005,RQ4,aggregate_process_balance,aggregate_cr_balance_index,combined_domain,all_24889_cells,1985_2025,both,descriptive,supported,Replenishment exceeds consolidation in aggregate in every five-year interval.,"Aggregate C-R index is negative in all eight intervals, from -0.838 in 1985-1990 to -0.656 in diagnostic 2020-2025.",not_assessed,Aggregate dominance does not imply that every cell is replenishment-dominant.,2,phase2_metrics,Eight interval rows; aggregate_cr_balance_index,main_result,0,phase2/canonical_spatial_metrics_summary_v1.csv,4d9a4ee8d9fefa5e281be3a765e20509756c7bb29f86046aaf6d87a1b9314bdf,True,phase9a-integrated-evidence-matrix-v1
P9A006,RQ4,nat_tmp_concentration,nat_tmp_endpoint_ha,combined_domain,primary_high_nat_tmp_cohort,1985_2020,primary,descriptive,supported,A small fixed group of high-magnitude cells contains most accumulated endpoint NAT-to-TMP area.,"2,598 cells = 10.44% of the domain and 87.5% of accumulated 1985-2020 NAT-to-TMP area.",not_assessed,The cohort is selected retrospectively and is not random or itself a statistical cluster.,4,phase4_closure,Section 2,main_result,0,phase4/phase4_spatial_findings_and_closure_v1.md,1be8540936dfdbcf25894b00a9d7c92058b3bbf23a56501c6d81eac0977f8631,True,phase9a-integrated-evidence-matrix-v1
P9A007,RQ4,nat_tmp_temporal_concentration,nat_tmp_endpoint_ha,combined_domain,primary_high_nat_tmp_cohort,1985_2020,primary,descriptive,supported,High-cohort NAT-to-TMP activity peaks in 2000-2005 and declines strongly by 2015-2020.,2.116 million ha in 2000-2005 versus 0.546 million ha in 2015-2020; decline = 74.2%.,not_assessed,Decline in high-class area does not mean disappearance of all NAT-to-TMP activity.,4,phase4_closure,Section 2,main_result,0,phase4/phase4_spatial_findings_and_closure_v1.md,1be8540936dfdbcf25894b00a9d7c92058b3bbf23a56501c6d81eac0977f8631,True,phase9a-integrated-evidence-matrix-v1
P9A008,RQ4,nat_tmp_spatial_redistribution,nat_tmp_weighted_center,combined_domain,primary_high_nat_tmp_cohort,1985_2020,primary,descriptive,supported,The activity-weighted center of the high cohort shifts north/northeast over the primary period.,Approximate net displacement = 692 km between 1985-1990 and 2015-2020.,not_assessed,"This is redistribution of activity weights among fixed cells, not tracking of identical pixels or a causal frontier trajectory.",4,phase4_closure,Section 3,main_result,0,phase4/phase4_spatial_findings_and_closure_v1.md,1be8540936dfdbcf25894b00a9d7c92058b3bbf23a56501c6d81eac0977f8631,True,phase9a-integrated-evidence-matrix-v1
P9A009,RQ4,regional_cr_balance,aggregate_cr_balance_index,Amazon_and_Cerrado,primary_high_nat_tmp_cohort,2010_2020,primary,descriptive,supported,Recent high-cohort balance differs between biomes: Amazon is consolidation-dominant while Cerrado remains mixed.,"2010-2015: Amazon +0.621, Cerrado +0.095; 2015-2020: Amazon +0.415, Cerrado -0.037.",not_assessed,"These are ratios of regional flow sums, not means of cell indices or classifications of all cells.",4,phase4_closure,Section 4,main_result,0,phase4/phase4_spatial_findings_and_closure_v1.md,1be8540936dfdbcf25894b00a9d7c92058b3bbf23a56501c6d81eac0977f8631,True,phase9a-integrated-evidence-matrix-v1
P9A010,RQ4,late_consolidation_persistence,cr_balance_stage,Amazon_and_Cerrado,primary_high_nat_tmp_cohort,2010_2020,primary,descriptive,supported,Recent consolidation dominance is more persistent among high-cohort Amazon cells than Cerrado cells.,"Dominant in both late intervals: Amazon 367/648 = 56.6%; Cerrado 427/1,950 = 21.9%.",not_assessed,"Persistence is defined at five-year cell state, not annual or pixel-level continuity.",4,phase4_temporal,Late-primary persistence,main_result,0,phase4/phase4_temporal_synthesis_v1.md,671f34296136545c54fcb1b8090352ceb5b0964d60b1cb818d19a007f6aedf23,True,phase9a-integrated-evidence-matrix-v1
